"Motivo.del.Viaje","trips","mean_travel","median_travel","mean_activity","mean_TTR"
"Volver a Casa",10118,18.1379719312117,15,209.177772313745,0.14484624049515
"Al Trabajo",2875,17.6789565217391,15,302.056211958468,0.0721116645766125
"Ver a alguien",2451,18.3529171766626,15,163.860379103098,0.141760378530079
"De compras",1920,14.1260416666667,10,41.176245210728,0.307380069730492
"Dejar/Buscar a Alguien",1568,14.2397959183673,15,30.2398058252427,0.499674195880725
"Recreación",1040,22.9384615384615,15,149.124726477024,0.155989410416912
"Por estudio",695,20.5841726618705,15,240.650513950073,0.106563598556205
"Por Trabajo",667,22.5967016491754,15,162.045161290323,0.206556522854364
"Practicar deportes, correr, caminar",654,21.3608562691131,15,99.5567010309278,0.171955869467026
"Trámites",429,16.1212121212121,15,45.0387409200968,0.340101186887249
"Comer o tomar algo",375,16.4586666666667,15,121.899350649351,0.157005490897919
"Otra cosa",360,21.6918981481481,15,96.6789308176101,0.299650264409493
"Buscar o dejar algo",274,18.3649635036496,15,35.675,0.45714492280491
"De salud",266,17.9661654135338,15,67.2818532818533,0.253323124975783
"Culto, prácticas religión",90,18.0777777777778,15,96.1204819277108,0.168577902459801
"Belleza personal (peluquería, manicura, pedicura, etc.)",13,25,15,75,0.243623737373737
